name,latitude,longitude,Hotel_Name
Lasai,-22.95401,-43.195570000000004,401 Art House
Oteque,-22.95747,-43.194424,Pinheiro 707
Mee,-22.96764,-43.17925,"Copacabana Palace, A Belmond Hotel, Rio de Janeiro"
Cipriani,-22.96755,-43.17901,"Copacabana Palace, A Belmond Hotel, Rio de Janeiro"
Jun Sakamoto,-23.56318,-46.67737,Nomah Pinheiros
Maní,-23.56621,-46.67974,Q Apartments Pinheiros
Evvai,-23.567078,-46.679146,Q Apartments Pinheiros
Picchi,-23.565063000000002,-46.666767,Regent Park Suíte Hotel
Kosushi,-23.58522,-46.6809,TRYP Sao Paulo Iguatemi Hotel
Ryo Gastronomia,-23.58132,-46.6767,Etoile Hotels - George V - Itaim Bibi
Tangará Jean-Georges,-23.634005,-46.72428,Palácio Tangará
Kinoshita,-23.59159,-46.671459999999996,Homestay na Vila Nova Conceição
Kan Suke,-23.5684,-46.649359999999994,ATOUT FRANCE
Huto,-23.60882,-46.6598,Estanplaza Ibirapuera
Stay,37.513003999999995,127.10257,Signiel Seoul
Lee Jong Kuk 104,37.592903,126.99728400000001,인천대부산리조트개발(주)
Hansikgonggan,37.577705,126.98852,Benikea Noble Hotel
Dining in Space,37.57761,126.98845,Benikea Noble Hotel
Exquisine,37.521046000000005,127.04973600000001,스튜디오 바이서정
Dosa,37.52445,127.04441000000001,노던아크리조트서울지점
Joo Ok,37.52252,127.04396000000001,索米酒店
Balwoo Gongyang,37.573890000000006,126.98318,ホテル
Muoki,37.518963,127.04217,C.S Cozy Vill
L'Amitié,37.522675,127.032646,한스빌라텔
Yu Yuan,37.57045,126.97533999999999,Four Seasons Hotel Seoul
Bicena,37.5384,127.00135,Hannam BnB
Mosu,37.536415000000005,126.99933999999999,한남 iBIZ고시원
Poom,37.54903,126.98341,함께꿈꾸는마을
Soigné,37.49816,127.00200000000001,블루미하우스
Table for Four,37.497690000000006,126.99441999999999,hillview
Zero Complex,37.494170000000004,126.9948,노블하우스
Jin Jin,37.55777,126.91323999999999,"홍대쉐어하우스,망원쉐어하우스(hongdae share house)"
Gotgan,37.52212,126.92022,Fairmont Ambassador Seoul
Hill Street Tai Hwa Pork Noodle,1.3052,103.8624,Nicolas Apartment
Putien (Kitchener Road),1.30969,103.8573,フラートンホテル
Chef Kang's,1.304735,103.84955,City Inn Mackenzie
Garibaldi,1.296564,103.855,Sebana Resort Pte Ltd
Summer Pavilion,1.291284,103.8603,Chihuly Lounge
Shinji (Bras Basah Road),1.2959028000000001,103.8539,ラッフルズ ホテル
The Song of India,1.310767,103.8353,Cairnhill Gardens
Lei Garden,1.295228,103.8521,Carlton Hotel Singapore
Whitegrass,1.295452,103.8516,Cathedral of the Good Shepherd Rectory
Jaan,1.2931840000000001,103.8529,RC Hotels (Pte) Ltd
Labyrinth,1.2899688,103.8562,perum taman teratai
Cut,1.2853268,103.8607,Marina Bay Sands Singapore
Alma,1.309123,103.834,Goodwood Park Hotel
Béni,1.3023790000000002,103.8366,新
Crystal Jade Golden Palace,1.303244,103.8353,Mgm Grand International Pte Ltd
Imperial Treasure Fine Teochew Cuisine (Orchard),1.3032448,103.8349,クインシー ホテル
Saint Pierre,1.2857809999999998,103.8538,Precious Treasure Pte Ltd
Sushi Ichi,1.305105,103.8324,test store
Sushi Kimura,1.3063718999999998,103.829475,Asia Best Holidays Pte Ltd
Iggy's,1.305986,103.8294,Hilton Singapore
Braci,1.287212,103.84949,MET A Space Pod @ Boat Quay
Jiang-Nan Chun,1.304937,103.8288,Four Seasons Hotel Singapore
Bacchanalia,1.2874758,103.8474,ZEN Rooms Clarke Quay
Shinji (Tanglin Road),1.305821,103.8257,The St. Regis Singapore
Corner House,1.315121,103.8154,Nassim Quattro
Summer Palace,1.3043848,103.825,Regent Singapore
Cheek by Jowl,1.281301,103.84849,Abiel Corporate Housing
Nouri,1.28086,103.84713,Amoy Street Conservation Shophouses
Liao Fan Hong Kong Soya Sauce Chicken Rice & Noodle,1.2824799999999998,103.8439,Jinshan Hotel Singapore
Burnt Ends,1.2805010000000001,103.8418,Butternut Tree Hotel
Rhubarb,1.279368,103.84299999999999,"Duxton Reserve Singapore, Autograph Collection"
Meta,1.279372,103.8415,Hotel 81 Cosy
Ma Cuisine,1.27826,103.84200000000001,"Duxton Reserve Singapore, Autograph Collection"
Candlenut,1.2797709,103.8402,Dorsett Singapore
Bhoga,57.70618,11.9624,Elite Plaza Hotel Gothenburg
Koka,57.698406000000006,11.965365,Hotel Vasa
28+,57.69809,11.97377,Kristinelundsgatan 1 Göteborg
SK Mat & Människor,57.69688000000001,11.98338,Anna & Jesper
Thörnströms Kök,57.69436999999999,11.977609,Partillecup skole
Upper House,57.69745,11.990210000000001,Upper House
Agrikultur,59.34777,18.058629999999997,KopparCronan Self Storage
Sushi Sho,59.341286,18.049892,Jenkins & Helmer Crib De Lux
Volt,59.33866999999999,18.079683,HotellTjänst
Ekstedt,59.33674,18.075210000000002,Scandic Anglais
Operakällaren,59.329876,18.071363,Förvaltningsel i Skandinavien AB
Mathias Dahlgren-Matbaren,59.32935,18.075429999999997,Cadierbaren
Aloë,59.2842,17.985748,Långbro Värdshus
PM & Vänner,56.878919999999994,14.803870000000002,PM & Friends Hotel
